"species","longitude","latitude"
"Araucaria angustifolia",-51.36,-25.14
"Araucaria angustifolia",-49.063939,-25.846987
"Araucaria angustifolia",-51.08591738,-26.76334511
"Araucaria angustifolia",-55.53,-27.32
"Araucaria angustifolia",-48.639063,-23.046254
"Araucaria angustifolia",-52,-25
"Araucaria angustifolia",-49.287778,-26.658333
"Araucaria angustifolia",-49.2064018249512,-25.5347003936768
"Araucaria angustifolia",-51.09292,-25.148065
"Araucaria angustifolia",-51.1794013977051,-29.1681003570557
"Araucaria angustifolia",-53.1725006103516,-26.760799407959
"Araucaria angustifolia",-41.4755556,-20.3763889
"Araucaria angustifolia",-47.060001373291,-22.8999996185303
"Araucaria angustifolia",-50.996667,-27.63
"Araucaria angustifolia",-51.62693244,-24.63603905
"Araucaria angustifolia",-48.9911003112793,-24.6571998596191
"Araucaria angustifolia",-52.2738990783691,-27.6341991424561
"Araucaria angustifolia",-52.71007,-26.146604
"Araucaria angustifolia",-46.8800010681152,-23.1800003051758
"Araucaria angustifolia",-52.4069444,-28.2633333
"Araucaria angustifolia",-49.918,-27.947
"Araucaria angustifolia",-49.163055,-25.325
"Araucaria angustifolia",-50.584400177002,-27.2828006744385
"Araucaria angustifolia",-51.251358,-24.238353
"Araucaria angustifolia",-51.9385986328125,-23.4253005981445
"Araucaria angustifolia",-50.308417,-24.143083
"Araucaria angustifolia",-51.215917,-23.325694
"Araucaria angustifolia",-48.680833,-28.104722
"Araucaria angustifolia",-48.439998626709,-22.8799991607666
"Araucaria angustifolia",-44.4467010498047,-22.468900680542
"Araucaria angustifolia",-50.34238,-25.331512
"Araucaria angustifolia",-45.146172,-23.33649
"Araucaria angustifolia",-50.5475006103516,-25.4132995605469
"Araucaria angustifolia",-49.632441,-25.583196
"Araucaria angustifolia",-47.81549,-22.255977
"Araucaria angustifolia",-50.692798614502,-25.6205997467041
"Araucaria angustifolia",-52.5257987976074,-25.4906005859375
"Araucaria angustifolia",-51.9613889,-29.4669445
"Araucaria angustifolia",-53.512779,-26.810016
"Araucaria angustifolia",-53.7801,-25.2397
"Araucaria angustifolia",-49.7057991027832,-24.2511005401611
"Araucaria angustifolia",-53.114056,-30.899278
"Araucaria angustifolia",-46.1446990966797,-22.7553005218506
"Araucaria angustifolia",-46.9099998474121,-23.6000003814697
"Araucaria angustifolia",-49.998639,-25.419694
"Araucaria angustifolia",-53.31706492,-29.73744154
"Araucaria angustifolia",-48.794218,-26.306185
"Araucaria angustifolia",-52.2275009155273,-27.8903007507324
"Araucaria angustifolia",-54.219997,-26.87092
"Araucaria angustifolia",-51.5494003295898,-28.9361000061035
"Araucaria angustifolia",-50.1446990966797,-29.0478000640869
"Araucaria angustifolia",-52.469099,-31.582789
"Araucaria angustifolia",-47.9099998474121,-22.5400009155273
"Araucaria angustifolia",-50.6156005859375,-24.3239002227783
"Araucaria angustifolia",-45.7000007629395,-23.1000003814697
"Araucaria angustifolia",-49.3400001525879,-24.1100006103516
"Araucaria angustifolia",-47.6399993896484,-22.7199993133545
"Araucaria angustifolia",-48.3600006103516,-24.0900001525879
"Araucaria angustifolia",-46.5200004577637,-22.5900001525879
"Araucaria angustifolia",-52.3283004760742,-26.5646991729736
"Araucaria angustifolia",-47.5,-23.56
"Araucaria angustifolia",-44.065601348877,-20.6707992553711
