"","Variable","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"Bio01","Bio01",-0.312863334844184,0.0991267364764898,-0.213464164564587,-0.244263890961843,-0.00656263300982238,0.0615697709768219,0.0237867412688618,0.307529609969416,0.308331586880474,0.164918351260288,0.0921201150961448,-0.177497474246976,-0.502792623599254,0.458128082934809,-0.251286269395996,6.68925613808709e-09
"Bio10","Bio10",-0.178062942137877,0.322885244235931,-0.214711805486934,-0.390414200032355,-0.212838508595691,-0.0127870805483816,-0.0997609095191449,0.394645029229787,0.0682969037234556,-0.149141963261126,-0.040524706690769,0.0158443433227754,0.57455103400624,-0.224545558195471,-0.212186089650658,-3.21660442460789e-09
"Bio11","Bio11",-0.334376607475982,-0.0216355396853387,-0.199081631855356,-0.141405639195303,0.103388873941311,0.0730913396853062,0.0592354223099601,-0.088720794153669,0.277219745362528,0.17402174812272,-0.0793703477890519,-0.0453703644162177,0.170017659164342,0.0359805914684493,0.809314669080884,-5.59441078306876e-09
"Bio12","Bio12",0.122526562100599,-0.386784791974879,0.040328753576697,-0.451864359512116,-0.0231952671758586,0.204720178682451,0.218398481225792,-0.173687679572716,0.152729551103979,-0.599694311327997,-0.188863389462817,-0.285618633119308,-0.0847140449440561,-0.0396054748414183,-0.0176422948077876,1.39938019665002e-09
"Bio13","Bio13",-0.119150162584372,-0.406000793661347,0.246672199998305,-0.282890393390205,-0.17635802867114,-0.110322811290806,-0.154617625776927,0.183488242912307,-0.388585894528405,0.441793273808118,-0.459099141062659,-0.148722124692153,0.00671746104423527,0.0111643250059291,-0.00206653829247236,1.71657536597775e-09
"Bio14","Bio14",0.310618071101192,-0.0973510499312981,-0.22989220406649,-0.168832951976181,0.233835251644973,0.215924634538234,-0.504120508807166,-0.0913293017364958,-0.0550303956358003,0.229061303839724,0.392631688034547,-0.464368047813349,0.0662497450203375,-0.138373613971963,-0.00850040897557125,1.75819674029198e-09
"Bio15","Bio15",-0.319010137235764,-0.0383017389065203,0.242751066269365,0.117149377105168,-0.047233322627074,-0.368514667922876,-0.68728542964058,-0.162437790044112,0.276148388633591,-0.315920229612492,-0.0737799598269817,-0.0496556041053357,-0.0539580803278201,0.0199514172706578,-0.00706319594189888,5.18134550233081e-10
"Bio16","Bio16",-0.117703151066061,-0.406129981783811,0.238101414435168,-0.301863476056627,-0.185719936408621,-0.0615479742299318,0.0381600581650346,0.00704044930417682,0.0630102710330184,0.0750167104332319,0.659369059323097,0.431216625920337,0.0545864430567515,-0.0110803499903963,0.0137538587773763,-3.2638824135642e-09
"Bio17","Bio17",0.308500496900331,-0.096241906341828,-0.239390478265534,-0.181401312395167,0.247074244620801,0.208004221871222,-0.357841077838861,0.0665877611527774,0.0517145543598189,-0.050336587249161,-0.305087989091095,0.643344954755982,-0.0365339752030482,0.23419169294656,0.0139655512664505,-2.50254282977735e-09
"Bio19","Bio19",0.267856902709749,-0.125569201253745,-0.330685315017208,-0.158478614516294,0.221252161912498,-0.828934861192122,0.180974919199436,0.0112250248221101,0.0795246592020431,0.0393913428027116,0.000286344253809918,-0.0324346987988328,0.00626215235049815,-0.00738463412617706,-0.00562782077735886,6.48064742420805e-10
"Bio02","Bio02",-0.0862012149507573,0.212898715495577,0.45939727429502,-0.241444524564695,0.648481148048142,0.00903006104926102,0.0732007985434092,0.169320776467736,0.117453646770275,0.0764217853742261,-0.0379897473178102,0.0655773807402394,-0.172137938517489,-0.40894351248519,-0.0319283779065321,-1.43586114219462e-09
"Bio03","Bio03",-0.308249056944444,-0.168103376742628,-0.0451558352019779,0.13038726018402,0.465643031738233,-0.0127226608195652,0.0143265034969775,0.249638333465265,-0.494117891366158,-0.342723114089683,0.168936123057295,-0.0786111107836351,0.215832499293548,0.365447535937692,0.0413246660128265,2.68130835333097e-10
"Bio04","Bio04",0.298840670847374,0.240737095408961,0.104048273932947,-0.0941065288657473,-0.269326543656993,-0.10011766258082,-0.133573519476831,0.449977453586368,-0.25568467538128,-0.269629441390077,0.133489837043546,-0.029894285266364,-0.374847637992726,-0.0527929402396909,0.479677136118725,-3.05960580435186e-09
"Bio05","Bio05",-0.159789995468838,0.383317475772156,-0.0554815374134024,-0.390626320216723,-0.0236170663890914,-0.0747657482668898,-0.0201442371458903,-0.526249380075763,-0.400038968506143,-0.0115211392827832,0.0361259958776351,0.0883430297976384,-0.128593730331841,0.0898581741532525,-0.0130965687125,-0.440817437604509
"Bio06","Bio06",-0.301681867577525,-0.025911733716779,-0.35855206059532,-0.045331373275223,-0.0212220295789174,0.0096633929862697,-0.0355235377836798,-0.161857740521159,-0.271074676930097,-0.0628167474592721,0.00184473237724259,0.1343853980657,-0.295443995006605,-0.37331063284641,-0.0420237000514081,0.652529138836896
"Bio07","Bio07",0.205107912131232,0.301584464374581,0.339918688595532,-0.231386639697891,0.00557667726082757,-0.063703697876564,0.0232014970899679,-0.205018705031437,0.000876082619481123,0.0582641582879726,0.0238845776924738,-0.0790903512324549,0.220815690208479,0.459491706701334,0.0351237867543505,0.616348691628832
