"species","x","y","year","ID"
"Araucaria angustifolia",-51.36,-25.14,"2022","3"
"Araucaria angustifolia",-49.063939,-25.846987,"2022","5"
"Araucaria angustifolia",-51.08591738,-26.76334511,"2017-05-222018-11-082016-06-072017-05-222016-03-22","9"
"Araucaria angustifolia",-55.53,-27.32,"2017-05-222018-11-082016-06-072017-05-222016-03-22","10"
"Araucaria angustifolia",-48.639063,-23.046254,"2017-05-222018-11-082016-06-072017-05-222016-03-22","12"
"Araucaria angustifolia",-52,-25,"2017-05-222018-11-082016-06-072017-05-222016-03-22","14"
"Araucaria angustifolia",-49.287778,-26.658333,"2011","15"
"Araucaria angustifolia",-49.2064018249512,-25.5347003936768,"1996","21"
"Araucaria angustifolia",-51.09292,-25.148065,"2023","23"
"Araucaria angustifolia",-51.1794013977051,-29.1681003570557,"1992","27"
"Araucaria angustifolia",-53.1725006103516,-26.760799407959,"2005","31"
"Araucaria angustifolia",-41.4755556,-20.3763889,"2018","32"
"Araucaria angustifolia",-47.060001373291,-22.8999996185303,"2005","34"
"Araucaria angustifolia",-50.996667,-27.63,"2011","36"
"Araucaria angustifolia",-51.62693244,-24.63603905,"2019","39"
"Araucaria angustifolia",-48.9911003112793,-24.6571998596191,"2018","40"
"Araucaria angustifolia",-52.2738990783691,-27.6341991424561,"1993","47"
"Araucaria angustifolia",-52.71007,-26.146604,"2023","52"
"Araucaria angustifolia",-57.49360612,-25.53489498,"1984","58"
"Araucaria angustifolia",-46.8800010681152,-23.1800003051758,"2008","61"
"Araucaria angustifolia",-52.4069444,-28.2633333,"1984","62"
"Araucaria angustifolia",-49.918,-27.947,"2022","64"
"Araucaria angustifolia",-49.163055,-25.325,"2015","70"
"Araucaria angustifolia",-50.584400177002,-27.2828006744385,"2014","71"
"Araucaria angustifolia",-48.6380996704102,-26.2432994842529,"2006","74"
"Araucaria angustifolia",-51.251358,-24.238353,"2022","77"
"Araucaria angustifolia",-51.9385986328125,-23.4253005981445,"1991","78"
"Araucaria angustifolia",-50.308417,-24.143083,"2005","81"
"Araucaria angustifolia",-49.769167,-28.260556,"2008","82"
"Araucaria angustifolia",-51.215917,-23.325694,"2018","85"
"Araucaria angustifolia",-48.680833,-28.104722,"2014","88"
"Araucaria angustifolia",-48.439998626709,-22.8799991607666,"1998","92"
"Araucaria angustifolia",-44.4467010498047,-22.468900680542,"2007","93"
"Araucaria angustifolia",-50.34238,-25.331512,"2020","104"
"Araucaria angustifolia",-45.146172,-23.33649,"2023","105"
"Araucaria angustifolia",-50.5475006103516,-25.4132995605469,"2012","108"
"Araucaria angustifolia",-49.632441,-25.583196,"2022","111"
"Araucaria angustifolia",-47.81549,-22.255977,"2022","112"
"Araucaria angustifolia",-50.692798614502,-25.6205997467041,"2014","114"
"Araucaria angustifolia",-52.5257987976074,-25.4906005859375,"2016","116"
"Araucaria angustifolia",-51.9613889,-29.4669445,"2001","118"
"Araucaria angustifolia",-53.512779,-26.810016,"2022","119"
"Araucaria angustifolia",-53.7801,-25.2397,"2004","124"
"Araucaria angustifolia",-49.7057991027832,-24.2511005401611,"1993","126"
"Araucaria angustifolia",-53.114056,-30.899278,"2002","129"
"Araucaria angustifolia",-46.1446990966797,-22.7553005218506,"2002","131"
"Araucaria angustifolia",-46.9099998474121,-23.6000003814697,"2008","132"
"Araucaria angustifolia",-49.998639,-25.419694,"2013","135"
"Araucaria angustifolia",-53.31706492,-29.73744154,"1995","141"
"Araucaria angustifolia",-48.794218,-26.306185,"2022","143"
"Araucaria angustifolia",-52.2275009155273,-27.8903007507324,"2003","144"
"Araucaria angustifolia",-54.219997,-26.87092,"2022","154"
"Araucaria angustifolia",-51.178068,-30.051692,"2017","155"
"Araucaria angustifolia",-51.5494003295898,-28.9361000061035,"1981","156"
"Araucaria angustifolia",-50.1446990966797,-29.0478000640869,"1993","157"
"Araucaria angustifolia",-52.469099,-31.582789,"2022","158"
"Araucaria angustifolia",-47.9099998474121,-22.5400009155273,"2018","160"
"Araucaria angustifolia",-50.6156005859375,-24.3239002227783,"2009","163"
"Araucaria angustifolia",-45.7000007629395,-23.1000003814697,"2021","166"
"Araucaria angustifolia",-48.1199989318848,-24.7299995422363,"2022","167"
"Araucaria angustifolia",-49.3400001525879,-24.1100006103516,"2009","172"
"Araucaria angustifolia",-47.6399993896484,-22.7199993133545,"2004","173"
"Araucaria angustifolia",-48.3600006103516,-24.0900001525879,"2022","174"
"Araucaria angustifolia",-46.5200004577637,-22.5900001525879,"2022","176"
"Araucaria angustifolia",-52.3283004760742,-26.5646991729736,"2016","177"
"Araucaria angustifolia",-47.5,-23.56,"2022","181"
"Araucaria angustifolia",-44.065601348877,-20.6707992553711,"1991","183"
"Araucaria angustifolia",-43.3502998352051,-21.7642002105713,"1987","184"
"Araucaria angustifolia",-44.8899993896484,-21.9589004516602,"2015","185"
"Araucaria angustifolia",-46.386100769043,-21.9235992431641,"2009","186"
"Araucaria angustifolia",-43.8278007507324,-22.0891990661621,"2006","187"
"Araucaria angustifolia",-50.9338989257812,-28.5121994018555,"2009","189"
"Araucaria angustifolia",-50.121898651123,-27.4831008911133,"2015","194"
"Araucaria angustifolia",-50.380298614502,-27.4841995239258,"2015","195"
"Araucaria angustifolia",-50.5800018310547,-27.6630992889404,"2016","196"
"Araucaria angustifolia",-50.9749984741211,-27.489200592041,"2013","199"
"Araucaria angustifolia",-45.319583,-22.581917,"2011","203"
"Araucaria angustifolia",-43.966111,-19.871944,"2012","204"
"Araucaria angustifolia",-51.370278,-23.328056,"2023","205"
"Araucaria angustifolia",-52.406247,-25.944012,"2022","207"
"Araucaria angustifolia",-53.77,-26.03,"1995","228"
"Araucaria angustifolia",-51.508078,-27.173244,"2022","229"
"Araucaria angustifolia",-42.485662,-22.39473,"2023","235"
"Araucaria angustifolia",-50.805556,-27.484444,"2013","241"
"Araucaria angustifolia",-50.733453,-27.226942,"2014","246"
"Araucaria angustifolia",-50.1744444,-29.4808333,"2001","251"
"Araucaria angustifolia",-51.2247222,-27.4016667,"1988","252"
"Araucaria angustifolia",-57.0882987976074,-29.7546997070312,"1997","254"
"Araucaria angustifolia",-51.3883333,-26.9072222,"2008","270"
"Araucaria angustifolia",-50.9638889,-26.8611111,"2008","271"
"Araucaria angustifolia",-49.0661010742188,-26.9193992614746,"2004","272"
"Araucaria angustifolia",-49.2317008972168,-26.8978004455566,"2006","273"
"Araucaria angustifolia",-52.805278,-27.498611,"2009","274"
"Araucaria angustifolia",-51.6925,-28.828611,"2020","277"
"Araucaria angustifolia",-49.512344,-26.4321,"2010","279"
"Araucaria angustifolia",-50.4166984558105,-28.6678009033203,"2005","281"
"Araucaria angustifolia",-51.190299987793,-28.0536003112793,"1987","283"
"Araucaria angustifolia",-51.5335998535156,-29.2560997009277,"2009","287"
"Araucaria angustifolia",-50.3577995300293,-28.8847007751465,"2000","288"
"Araucaria angustifolia",-51.1143989562988,-29.3763999938965,"2009","290"
"Araucaria angustifolia",-53.8358001708984,-29.0806007385254,"1991","292"
"Araucaria angustifolia",-51.694222,-24.280111,"2018","295"
"Araucaria angustifolia",-51.845139,-25.945222,"2018","296"
"Araucaria angustifolia",-51.286083,-25.625556,"2021","300"
"Araucaria angustifolia",-51.179742,-29.022775,"2023","301"
"Araucaria angustifolia",-54.560136,-25.845046,"2022","302"
"Araucaria angustifolia",-51.5645,-25.043556,"2009","305"
"Araucaria angustifolia",-52.36075,-24.048611,"2011","308"
"Araucaria angustifolia",-52.38,-29.52,"2015","309"
"Araucaria angustifolia",-43.569866,-21.462254,"2022","310"
"Araucaria angustifolia",-52.4238889,-31.2913889,"2018","311"
"Araucaria angustifolia",-52.5802778,-31.4697223,"2019","313"
"Araucaria angustifolia",-50.308056,-26.115833,"2013","314"
"Araucaria angustifolia",-54,-30,"1993","317"
"Araucaria angustifolia",-51.240556,-27.826944,"2016","321"
"Araucaria angustifolia",-50.1275,-27.9275,"2016","323"
"Araucaria angustifolia",-52.557222,-30.564167,"2012","324"
"Araucaria angustifolia",-53.95,-26.2078,"2018","329"
"Araucaria angustifolia",-41.8328,-20.4797,"2018","331"
"Araucaria angustifolia",-46.5564,-21.7725,"2018","335"
"Araucaria angustifolia",-45.9008,-22.7469,"2018","339"
"Araucaria angustifolia",-45.3742,-22.4456,"2018","347"
"Araucaria angustifolia",-45.8186,-22.5819,"2018","348"
"Araucaria angustifolia",-46.2803,-21.3708,"2018","351"
"Araucaria angustifolia",-46.975,-21.1125,"2018","353"
"Araucaria angustifolia",-43.7031,-21.1906,"2018","354"
"Araucaria angustifolia",-44.9858,-21.3314,"2018","355"
"Araucaria angustifolia",-44.1006,-21.4878,"2018","356"
"Araucaria angustifolia",-46.2494,-21.8017,"2018","357"
"Araucaria angustifolia",-45.3231,-21.9336,"2018","358"
"Araucaria angustifolia",-46.3478,-22.0806,"2018","361"
"Araucaria angustifolia",-44.1428,-21.0667,"2018","362"
"Araucaria angustifolia",-48.9997,-25.3856,"2018","363"
"Araucaria angustifolia",-49.4261,-24.5339,"2018","366"
"Araucaria angustifolia",-49.8794,-24.8017,"2018","367"
"Araucaria angustifolia",-49.3292,-25.1814,"2018","368"
"Araucaria angustifolia",-49.1283,-25.1828,"2018","369"
"Araucaria angustifolia",-43.916011,-21.953646,"2023","371"
"Araucaria angustifolia",-45.427395,-22.719416,"2022","372"
"Araucaria angustifolia",-49.3736,-25.5836,"2018","375"
"Araucaria angustifolia",-49.2022,-25.9314,"2018","378"
"Araucaria angustifolia",-49.8019,-23.9036,"2018","380"
"Araucaria angustifolia",-51.3353,-24.0181,"2018","381"
"Araucaria angustifolia",-49.7186,-24.1111,"2018","382"
"Araucaria angustifolia",-51.084225,-29.563713,"2022","383"
"Araucaria angustifolia",-50.9792,-24.1683,"2018","384"
"Araucaria angustifolia",-49.9111,-24.1861,"2018","385"
"Araucaria angustifolia",-52.3503,-24.1953,"2018","386"
"Araucaria angustifolia",-52.9189,-24.2106,"2018","387"
"Araucaria angustifolia",-49.4867,-24.2508,"2018","388"
"Araucaria angustifolia",-51.0883,-24.4736,"2018","390"
"Araucaria angustifolia",-50.4067,-24.4781,"2018","391"
"Araucaria angustifolia",-52.8475,-24.5433,"2018","392"
"Araucaria angustifolia",-52.1936,-24.5622,"2018","393"
"Araucaria angustifolia",-50.9825,-24.8331,"2018","395"
"Araucaria angustifolia",-52.9972,-24.9869,"2018","396"
"Araucaria angustifolia",-50.6475,-24.9947,"2018","397"
"Araucaria angustifolia",-53.6625,-25.0919,"2018","398"
"Araucaria angustifolia",-50.0325,-25.2206,"2018","399"
"Araucaria angustifolia",-52.7278,-25.4514,"2018","402"
"Araucaria angustifolia",-51.7517,-25.5969,"2018","403"
"Araucaria angustifolia",-50.2614,-25.6614,"2018","404"
"Araucaria angustifolia",-50.3256,-25.8542,"2018","409"
"Araucaria angustifolia",-53.3425,-25.8789,"2018","410"
"Araucaria angustifolia",-49.5033,-25.8911,"2018","411"
